region_id	probe_id	probe_chr	probe_position	genome_build
PROPGER_DMR_0003	cg06322988	chr3	138725189	hg19
PROPGER_DMR_0003	cg04085942	chr3	138725657	hg19
PROPGER_DMR_0003	cg21350073	chr3	138724834	hg19
PROPGER_DMR_0003	cg00172799	chr3	138724564	hg19
PROPGER_DMR_0003	cg10272954	chr3	138725425	hg19
PROPGER_DMR_0003	cg01926813	chr3	138725204	hg19
PROPGER_DMR_0004	cg21665850	chr2	731073	hg19
PROPGER_DMR_0004	cg20057198	chr2	731561	hg19
PROPGER_DMR_0004	cg23687269	chr2	732577	hg19
PROPGER_DMR_0004	cg24104387	chr2	732037	hg19
PROPGER_DMR_0004	cg14222729	chr2	731215	hg19
PROPGER_DMR_0004	cg02310723	chr2	731349	hg19
PROPGER_DMR_0004	cg08280036	chr2	731594	hg19
PROPGER_DMR_0004	cg01479768	chr2	731298	hg19
PROPGER_DMR_0004	cg26476930	chr2	731519	hg19
PROPGER_DMR_0004	cg16302040	chr2	730615	hg19
PROPGER_DMR_0004	cg17035276	chr2	731289	hg19
PROPGER_DMR_0004	cg01267068	chr2	731158	hg19
PROPGER_DMR_0005	cg13174084	chr2	84517877	hg19
PROPGER_DMR_0005	cg23411919	chr2	84517769	hg19
PROPGER_DMR_0005	cg22037978	chr2	84517763	hg19
PROPGER_DMR_0005	cg16851758	chr2	84517782	hg19
PROPGER_DMR_0005	cg07153098	chr2	84517742	hg19
PROPGER_DMR_0005	cg00183606	chr2	84517474	hg19
PROPGER_DMR_0005	cg06502755	chr2	84517950	hg19
PROPGER_DMR_0005	cg20043679	chr2	84517321	hg19
PROPGER_DMR_0005	cg05068981	chr2	84517738	hg19
PROPGER_DMR_0006	cg26668828	chr6	292823	hg19
PROPGER_DMR_0006	cg01171360	chr6	293285	hg19
PROPGER_DMR_0006	cg18110333	chr6	292329	hg19
PROPGER_DMR_0006	cg01516881	chr6	292596	hg19
PROPGER_DMR_0006	cg07332563	chr6	291687	hg19
PROPGER_DMR_0006	cg02955261	chr6	291634	hg19
PROPGER_DMR_0006	cg05064044	chr6	292385	hg19
PROPGER_DMR_0006	cg11235426	chr6	292522	hg19
PROPGER_DMR_0006	cg17876578	chr6	291859	hg19
PROPGER_DMR_0006	cg21548813	chr6	291882	hg19
PROPGER_DMR_0006	cg03395511	chr6	291903	hg19
PROPGER_DMR_0006	cg20619695	chr6	293331	hg19
PROPGER_DMR_0007	cg20119532	chr20	749581	hg19
PROPGER_DMR_0007	cg04972979	chr20	749148	hg19
PROPGER_DMR_0007	cg10339152	chr20	749452	hg19
PROPGER_DMR_0007	cg19079784	chr20	749159	hg19
PROPGER_DMR_0007	cg27210657	chr20	749360	hg19
PROPGER_DMR_0007	cg01479232	chr20	748992	hg19
PROPGER_DMR_0007	cg19145218	chr20	749336	hg19
PROPGER_DMR_0007	cg23289456	chr20	749620	hg19
PROPGER_DMR_0007	cg01319701	chr20	749264	hg19
PROPGER_DMR_0007	cg21166376	chr20	750226	hg19
PROPGER_DMR_0008	cg05664039	chr6	30131755	hg19
PROPGER_DMR_0008	cg14815183	chr6	30131613	hg19
PROPGER_DMR_0008	cg21988950	chr6	30131691	hg19
PROPGER_DMR_0008	cg09769113	chr6	30131719	hg19
PROPGER_DMR_0008	cg05235884	chr6	30131806	hg19
PROPGER_DMR_0008	cg02772121	chr6	30130881	hg19
PROPGER_DMR_0008	cg12422154	chr6	30130819	hg19
PROPGER_DMR_0008	cg25582220	chr6	30130914	hg19
PROPGER_DMR_0008	cg05701418	chr6	30131361	hg19
PROPGER_DMR_0008	cg02012483	chr6	30131570	hg19
PROPGER_DMR_0008	cg00879790	chr6	30131283	hg19
PROPGER_DMR_0008	cg06051311	chr6	30131001	hg19
PROPGER_DMR_0008	cg22425467	chr6	30131189	hg19
PROPGER_DMR_0008	cg20101433	chr6	30130922	hg19
PROPGER_DMR_0008	cg07421969	chr6	30131634	hg19
PROPGER_DMR_0008	cg00628477	chr6	30131821	hg19
PROPGER_DMR_0008	cg00720829	chr6	30131219	hg19
PROPGER_DMR_0008	cg01905142	chr6	30131840	hg19
PROPGER_DMR_0008	cg21856784	chr6	30131214	hg19
PROPGER_DMR_0008	cg11772804	chr6	30131971	hg19
PROPGER_DMR_0008	cg27583815	chr6	30131467	hg19
PROPGER_DMR_0008	cg20488756	chr6	30131586	hg19
PROPGER_DMR_0008	cg03609216	chr6	30131526	hg19
PROPGER_DMR_0009	cg03700135	chr17	707059	hg19
PROPGER_DMR_0009	cg13357416	chr17	707032	hg19
PROPGER_DMR_0009	cg20403644	chr17	707141	hg19
PROPGER_DMR_0009	cg10680490	chr17	707018	hg19
PROPGER_DMR_0009	cg17845790	chr17	707228	hg19
PROPGER_DMR_0010	cg11147215	chr8	105379726	hg19
PROPGER_DMR_0010	cg23305365	chr8	105379392	hg19
PROPGER_DMR_0010	cg11421509	chr8	105379602	hg19
PROPGER_DMR_0010	cg26202195	chr8	105379368	hg19
PROPGER_DMR_0010	cg13754799	chr8	105380213	hg19
PROPGER_DMR_0010	cg07862768	chr8	105379411	hg19
PROPGER_DMR_0010	cg20935489	chr8	105379985	hg19
PROPGER_DMR_0011	cg05756918	chr7	27253707	hg19
PROPGER_DMR_0011	cg02063817	chr7	27253521	hg19
PROPGER_DMR_0011	cg06912229	chr7	27253382	hg19
PROPGER_DMR_0011	cg12187687	chr7	27253834	hg19
PROPGER_DMR_0011	cg21252523	chr7	27254071	hg19
PROPGER_DMR_0012	cg18011099	chr6	37461253	hg19
PROPGER_DMR_0012	cg24148817	chr6	37461033	hg19
PROPGER_DMR_0012	cg22987116	chr6	37461296	hg19
PROPGER_DMR_0012	cg02029703	chr6	37460516	hg19
PROPGER_DMR_0013	cg13038544	chr12	57588198	hg19
PROPGER_DMR_0013	cg03668470	chr12	57588180	hg19
PROPGER_DMR_0013	cg16521032	chr12	57587714	hg19
PROPGER_DMR_0013	cg21913159	chr12	57588171	hg19
PROPGER_DMR_0013	cg21702971	chr12	57588243	hg19
PROPGER_DMR_0013	cg10989175	chr12	57587701	hg19
PROPGER_DMR_0013	cg05776138	chr12	57587773	hg19
PROPGER_DMR_0013	cg11122256	chr12	57588350	hg19
PROPGER_DMR_0013	cg11902380	chr12	57588031	hg19
PROPGER_DMR_0013	cg24219985	chr12	57587422	hg19
PROPGER_DMR_0013	cg07124859	chr12	57588219	hg19
PROPGER_DMR_0014	cg19754622	chr10	134045578	hg19
PROPGER_DMR_0014	cg25969878	chr10	134045913	hg19
PROPGER_DMR_0014	cg00468125	chr10	134046066	hg19
PROPGER_DMR_0014	cg18233544	chr10	134046237	hg19
PROPGER_DMR_0014	cg01458105	chr10	134045514	hg19
PROPGER_DMR_0014	cg16106427	chr10	134045609	hg19
PROPGER_DMR_0015	cg12869334	chr8	37699360	hg19
PROPGER_DMR_0015	cg23245289	chr8	37698900	hg19
PROPGER_DMR_0015	cg05552035	chr8	37699239	hg19
PROPGER_DMR_0015	cg14413209	chr8	37699231	hg19
PROPGER_DMR_0015	cg12424646	chr8	37699507	hg19
PROPGER_DMR_0016	cg04841405	chr16	1501118	hg19
PROPGER_DMR_0016	cg01852063	chr16	1500567	hg19
PROPGER_DMR_0016	cg07971894	chr16	1500430	hg19
PROPGER_DMR_0016	cg06233301	chr16	1500359	hg19
PROPGER_DMR_0017	cg22991936	chr14	105255472	hg19
PROPGER_DMR_0017	cg15912732	chr14	105255285	hg19
PROPGER_DMR_0017	cg26099837	chr14	105255361	hg19
PROPGER_DMR_0017	cg12789068	chr14	105255251	hg19
PROPGER_DMR_0018	cg19529709	chr22	25160075	hg19
PROPGER_DMR_0018	cg23638640	chr22	25160033	hg19
PROPGER_DMR_0018	cg05312960	chr22	25159879	hg19
PROPGER_DMR_0018	cg22897224	chr22	25160406	hg19
PROPGER_DMR_0018	cg13627197	chr22	25160378	hg19
PROPGER_DMR_0018	cg17586419	chr22	25159336	hg19
PROPGER_DMR_0018	cg03043822	chr22	25160098	hg19
PROPGER_DMR_0018	cg20571420	chr22	25160308	hg19
PROPGER_DMR_0019	cg12000995	chr2	27665139	hg19
PROPGER_DMR_0019	cg20102877	chr2	27665638	hg19
PROPGER_DMR_0019	cg17158414	chr2	27665306	hg19
PROPGER_DMR_0019	cg21248554	chr2	27665150	hg19
PROPGER_DMR_0019	cg12648201	chr2	27665141	hg19
PROPGER_DMR_0019	cg11618577	chr2	27665543	hg19
PROPGER_DMR_0019	cg26034919	chr2	27665711	hg19
PROPGER_DMR_0019	cg24768116	chr2	27665128	hg19
PROPGER_DMR_0019	cg26350635	chr2	27664918	hg19
PROPGER_DMR_0019	cg21071148	chr2	27664658	hg19
PROPGER_DMR_0019	cg04845466	chr2	27665079	hg19
PROPGER_DMR_0020	cg06201514	chr2	1817409	hg19
PROPGER_DMR_0020	cg10075506	chr2	1817351	hg19
PROPGER_DMR_0020	cg20302572	chr2	1817891	hg19
PROPGER_DMR_0020	cg11454095	chr2	1817951	hg19
PROPGER_DMR_0021	cg05315334	chr13	113656212	hg19
PROPGER_DMR_0021	cg05439665	chr13	113656424	hg19
PROPGER_DMR_0021	cg00841725	chr13	113655538	hg19
PROPGER_DMR_0021	cg21094405	chr13	113656117	hg19
PROPGER_DMR_0021	cg26217483	chr13	113656010	hg19
PROPGER_DMR_0021	cg03623878	chr13	113655560	hg19
PROPGER_DMR_0021	cg18386168	chr13	113655884	hg19
PROPGER_DMR_0021	cg21216522	chr13	113656041	hg19
PROPGER_DMR_0021	cg05669497	chr13	113655468	hg19
PROPGER_DMR_0021	cg04132256	chr13	113655973	hg19
PROPGER_DMR_0021	cg22873464	chr13	113655964	hg19
PROPGER_DMR_0021	cg22121650	chr13	113656036	hg19
PROPGER_DMR_0021	cg11668844	chr13	113655622	hg19
PROPGER_DMR_0021	cg13936986	chr13	113655370	hg19
PROPGER_DMR_0021	cg17930099	chr13	113655950	hg19
PROPGER_DMR_0022	cg24534135	chr2	239140473	hg19
PROPGER_DMR_0022	cg07323141	chr2	239140169	hg19
PROPGER_DMR_0022	cg06102419	chr2	239139911	hg19
PROPGER_DMR_0022	cg23497383	chr2	239140182	hg19
PROPGER_DMR_0022	cg13530938	chr2	239140190	hg19
PROPGER_DMR_0022	cg04166618	chr2	239140340	hg19
PROPGER_DMR_0022	cg11904906	chr2	239140032	hg19
PROPGER_DMR_0022	cg06497612	chr2	239140610	hg19
PROPGER_DMR_0022	cg24079051	chr2	239140485	hg19
PROPGER_DMR_0022	cg02536451	chr2	239139518	hg19
PROPGER_DMR_0022	cg12608247	chr2	239140369	hg19
PROPGER_DMR_0022	cg13957874	chr2	239140024	hg19
PROPGER_DMR_0022	cg02135859	chr2	239140634	hg19
PROPGER_DMR_0022	cg06732439	chr2	239140318	hg19
PROPGER_DMR_0023	cg05810363	chr17	74475270	hg19
PROPGER_DMR_0023	cg12309456	chr17	74475402	hg19
PROPGER_DMR_0023	cg13076843	chr17	74475294	hg19
PROPGER_DMR_0023	cg12163800	chr17	74475355	hg19
PROPGER_DMR_0023	cg08008636	chr17	74475050	hg19
PROPGER_DMR_0023	cg11007099	chr17	74475726	hg19
PROPGER_DMR_0023	cg17019969	chr17	74475240	hg19
PROPGER_DMR_0024	cg20632978	chr17	79167828	hg19
PROPGER_DMR_0024	cg13534740	chr17	79167630	hg19
PROPGER_DMR_0024	cg01977863	chr17	79167836	hg19
PROPGER_DMR_0025	cg20077343	chr11	1036307	hg19
PROPGER_DMR_0025	cg06938699	chr11	1037775	hg19
PROPGER_DMR_0025	cg24404533	chr11	1036766	hg19
PROPGER_DMR_0025	cg25053386	chr11	1036754	hg19
PROPGER_DMR_0025	cg05852477	chr11	1037640	hg19
PROPGER_DMR_0025	cg05997730	chr11	1036727	hg19
PROPGER_DMR_0025	cg16688368	chr11	1037803	hg19
PROPGER_DMR_0025	cg07407723	chr11	1037836	hg19
PROPGER_DMR_0025	cg06508454	chr11	1036471	hg19
PROPGER_DMR_0025	cg26226988	chr11	1037923	hg19
PROPGER_DMR_0025	cg22685816	chr11	1036679	hg19
PROPGER_DMR_0025	cg18552858	chr11	1038003	hg19
PROPGER_DMR_0025	cg07608370	chr11	1036865	hg19
PROPGER_DMR_0026	cg17963157	chr16	23653689	hg19
PROPGER_DMR_0026	cg07452489	chr16	23653711	hg19
PROPGER_DMR_0026	cg26988306	chr16	23653700	hg19
PROPGER_DMR_0027	cg07444280	chr15	43809725	hg19
PROPGER_DMR_0027	cg02779016	chr15	43809689	hg19
PROPGER_DMR_0027	cg07562821	chr15	43810131	hg19
PROPGER_DMR_0027	cg22377043	chr15	43809486	hg19
PROPGER_DMR_0027	cg15159104	chr15	43809865	hg19
PROPGER_DMR_0027	cg08674075	chr15	43809686	hg19
PROPGER_DMR_0027	cg14025021	chr15	43809510	hg19
PROPGER_DMR_0028	cg20216928	chr10	134735508	hg19
PROPGER_DMR_0028	cg24875250	chr10	134735402	hg19
PROPGER_DMR_0028	cg16740640	chr10	134735452	hg19
PROPGER_DMR_0028	cg00124045	chr10	134735893	hg19
PROPGER_DMR_0029	cg14654158	chr19	1109252	hg19
PROPGER_DMR_0029	cg22597120	chr19	1108566	hg19
PROPGER_DMR_0029	cg17289222	chr19	1109154	hg19
PROPGER_DMR_0029	cg24712567	chr19	1108560	hg19
PROPGER_DMR_0030	cg22553357	chr8	11652595	hg19
PROPGER_DMR_0030	cg12558855	chr8	11652599	hg19
PROPGER_DMR_0030	cg12124032	chr8	11652694	hg19
PROPGER_DMR_0030	cg13914464	chr8	11652174	hg19
PROPGER_DMR_0031	cg18787908	chr1	54060157	hg19
PROPGER_DMR_0031	cg11702274	chr1	54060214	hg19
PROPGER_DMR_0031	cg08927728	chr1	54059983	hg19
PROPGER_DMR_0031	cg07514725	chr1	54059988	hg19
PROPGER_DMR_0032	cg08049923	chr3	195538917	hg19
PROPGER_DMR_0032	cg10237854	chr3	195539463	hg19
PROPGER_DMR_0032	cg19983801	chr3	195538730	hg19
PROPGER_DMR_0032	cg08493265	chr3	195539297	hg19
PROPGER_DMR_0032	cg03123551	chr3	195538961	hg19
PROPGER_DMR_0032	cg05659262	chr3	195539315	hg19
PROPGER_DMR_0032	cg07399928	chr3	195538675	hg19
PROPGER_DMR_0032	cg15589427	chr3	195539395	hg19
PROPGER_DMR_0032	cg15140981	chr3	195539033	hg19
PROPGER_DMR_0032	cg21549260	chr3	195538768	hg19
PROPGER_DMR_0032	cg23280655	chr3	195538760	hg19
PROPGER_DMR_0032	cg10593292	chr3	195539133	hg19
PROPGER_DMR_0032	cg13002712	chr3	195539313	hg19
PROPGER_DMR_0033	cg01291204	chr16	85670348	hg19
PROPGER_DMR_0033	cg08455781	chr16	85669875	hg19
PROPGER_DMR_0033	cg00408285	chr16	85670262	hg19
PROPGER_DMR_0033	cg01397513	chr16	85670135	hg19
PROPGER_DMR_0033	cg00168118	chr16	85669675	hg19
PROPGER_DMR_0033	cg03748158	chr16	85670174	hg19
PROPGER_DMR_0034	cg05881566	chr11	61522765	hg19
PROPGER_DMR_0034	cg11060910	chr11	61522775	hg19
PROPGER_DMR_0034	cg06137032	chr11	61522807	hg19
PROPGER_DMR_0034	cg07486017	chr11	61522799	hg19
PROPGER_DMR_0034	cg10847656	chr11	61522591	hg19
PROPGER_DMR_0034	cg22627427	chr11	61522498	hg19
PROPGER_DMR_0034	cg11179625	chr11	61522741	hg19
PROPGER_DMR_0034	cg01178188	chr11	61523045	hg19
PROPGER_DMR_0035	cg17596731	chr5	1726243	hg19
PROPGER_DMR_0035	cg19360482	chr5	1726171	hg19
PROPGER_DMR_0035	cg04476626	chr5	1726145	hg19
PROPGER_DMR_0035	cg01815292	chr5	1725823	hg19
PROPGER_DMR_0036	cg12770471	chr15	78538041	hg19
PROPGER_DMR_0036	cg07393586	chr15	78538539	hg19
PROPGER_DMR_0036	cg01324349	chr15	78538784	hg19
PROPGER_DMR_0037	cg03348857	chr17	73499195	hg19
PROPGER_DMR_0037	cg09662798	chr17	73498302	hg19
PROPGER_DMR_0037	cg24165907	chr17	73498542	hg19
PROPGER_DMR_0037	cg10089457	chr17	73499284	hg19
PROPGER_DMR_0037	cg25051248	chr17	73498777	hg19
PROPGER_DMR_0037	cg26103628	chr17	73499295	hg19
PROPGER_DMR_0038	cg13021629	chr9	139659065	hg19
PROPGER_DMR_0038	cg06522390	chr9	139659079	hg19
PROPGER_DMR_0038	cg14164262	chr9	139659038	hg19
PROPGER_DMR_0038	cg04408841	chr9	139659112	hg19
PROPGER_DMR_0038	cg16536450	chr9	139658896	hg19
PROPGER_DMR_0039	cg01339183	chr6	41751312	hg19
PROPGER_DMR_0039	cg05332250	chr6	41751599	hg19
PROPGER_DMR_0039	cg21539697	chr6	41751160	hg19
PROPGER_DMR_0040	cg03145274	chr1	8383899	hg19
PROPGER_DMR_0040	cg06723421	chr1	8384440	hg19
PROPGER_DMR_0040	cg21358741	chr1	8384350	hg19
PROPGER_DMR_0040	cg14038482	chr1	8384484	hg19
PROPGER_DMR_0040	cg07958878	chr1	8384595	hg19
PROPGER_DMR_0040	cg10508347	chr1	8384659	hg19
PROPGER_DMR_0040	cg02989448	chr1	8384227	hg19
PROPGER_DMR_0040	cg15575320	chr1	8384513	hg19
PROPGER_DMR_0040	cg14413262	chr1	8384046	hg19
PROPGER_DMR_0040	cg18416374	chr1	8384261	hg19
PROPGER_DMR_0040	cg00184512	chr1	8383636	hg19
PROPGER_DMR_0041	cg05233373	chr2	161127261	hg19
PROPGER_DMR_0041	cg20459849	chr2	161127884	hg19
PROPGER_DMR_0041	cg09250087	chr2	161127564	hg19
PROPGER_DMR_0041	cg04170535	chr2	161127677	hg19
PROPGER_DMR_0041	cg14258877	chr2	161127827	hg19
PROPGER_DMR_0041	cg00897796	chr2	161127463	hg19
PROPGER_DMR_0042	cg01612220	chr14	104621176	hg19
PROPGER_DMR_0042	cg19992808	chr14	104621227	hg19
PROPGER_DMR_0042	cg14261875	chr14	104621467	hg19
PROPGER_DMR_0042	cg21119293	chr14	104621601	hg19
PROPGER_DMR_0043	cg00563832	chr22	36908976	hg19
PROPGER_DMR_0043	cg18658193	chr22	36909003	hg19
PROPGER_DMR_0043	cg16066776	chr22	36909228	hg19
PROPGER_DMR_0043	cg03424175	chr22	36908637	hg19
PROPGER_DMR_0044	cg07861373	chr17	73501230	hg19
PROPGER_DMR_0044	cg17430268	chr17	73501021	hg19
PROPGER_DMR_0044	cg26565893	chr17	73501109	hg19
PROPGER_DMR_0044	cg26263664	chr17	73501058	hg19
PROPGER_DMR_0044	cg21613693	chr17	73501181	hg19
PROPGER_DMR_0044	cg10008947	chr17	73500739	hg19
PROPGER_DMR_0045	cg17657615	chr3	182881682	hg19
PROPGER_DMR_0045	cg11230154	chr3	182881642	hg19
PROPGER_DMR_0045	cg22356117	chr3	182881427	hg19
PROPGER_DMR_0045	cg06723975	chr3	182881615	hg19
PROPGER_DMR_0045	cg25423386	chr3	182881639	hg19
PROPGER_DMR_0045	cg22288011	chr3	182881613	hg19
PROPGER_DMR_0046	cg19479654	chr19	18496921	hg19
PROPGER_DMR_0046	cg12008047	chr19	18497143	hg19
PROPGER_DMR_0046	cg03207391	chr19	18497201	hg19
PROPGER_DMR_0046	cg08162780	chr19	18497064	hg19
PROPGER_DMR_0046	cg09538452	chr19	18496756	hg19
PROPGER_DMR_0046	cg16929104	chr19	18496953	hg19
PROPGER_DMR_0046	cg21211585	chr19	18496984	hg19
PROPGER_DMR_0047	cg12686110	chr8	144635478	hg19
PROPGER_DMR_0047	cg07422279	chr8	144635610	hg19
PROPGER_DMR_0047	cg18198896	chr8	144635361	hg19
PROPGER_DMR_0047	cg09317036	chr8	144635547	hg19
PROPGER_DMR_0047	cg08688335	chr8	144635260	hg19
PROPGER_DMR_0047	cg14721632	chr8	144635430	hg19
PROPGER_DMR_0047	cg22012530	chr8	144635309	hg19
PROPGER_DMR_0047	cg19661369	chr8	144636025	hg19
PROPGER_DMR_0047	cg01134012	chr8	144635316	hg19
PROPGER_DMR_0047	cg15541193	chr8	144635496	hg19
PROPGER_DMR_0047	cg23090207	chr8	144635444	hg19
PROPGER_DMR_0048	cg15564488	chr19	3637627	hg19
PROPGER_DMR_0048	cg07577499	chr19	3637617	hg19
PROPGER_DMR_0048	cg27490930	chr19	3637460	hg19
PROPGER_DMR_0048	cg10996109	chr19	3637309	hg19
PROPGER_DMR_0048	cg11976007	chr19	3637313	hg19
PROPGER_DMR_0049	cg04562611	chr16	615315	hg19
PROPGER_DMR_0049	cg27409401	chr16	614852	hg19
PROPGER_DMR_0049	cg06951750	chr16	614645	hg19
PROPGER_DMR_0049	cg05389958	chr16	614986	hg19
PROPGER_DMR_0050	cg23586996	chr17	77893850	hg19
PROPGER_DMR_0050	cg08577046	chr17	77893746	hg19
PROPGER_DMR_0050	cg19497767	chr17	77893704	hg19
PROPGER_DMR_0051	cg13187827	chr6	31734192	hg19
PROPGER_DMR_0051	cg10158997	chr6	31734106	hg19
PROPGER_DMR_0051	cg23287992	chr6	31734390	hg19
PROPGER_DMR_0051	cg12425321	chr6	31733914	hg19
PROPGER_DMR_0051	cg05239811	chr6	31734147	hg19
PROPGER_DMR_0051	cg06700938	chr6	31733543	hg19
PROPGER_DMR_0051	cg00330953	chr6	31733810	hg19
PROPGER_DMR_0051	cg03560996	chr6	31733908	hg19
PROPGER_DMR_0051	cg19593741	chr6	31734217	hg19
PROPGER_DMR_0051	cg06991565	chr6	31733799	hg19
PROPGER_DMR_0051	cg25264948	chr6	31734232	hg19
PROPGER_DMR_0051	cg02002586	chr6	31733894	hg19
PROPGER_DMR_0051	cg10095777	chr6	31734292	hg19
PROPGER_DMR_0051	cg09630142	chr6	31733889	hg19
PROPGER_DMR_0051	cg00686197	chr6	31733619	hg19
PROPGER_DMR_0051	cg23526676	chr6	31734458	hg19
PROPGER_DMR_0051	cg00848392	chr6	31734401	hg19
PROPGER_DMR_0051	cg16587961	chr6	31733688	hg19
PROPGER_DMR_0051	cg11627902	chr6	31733434	hg19
PROPGER_DMR_0052	cg19865237	chr14	104690244	hg19
PROPGER_DMR_0052	cg21859216	chr14	104690074	hg19
PROPGER_DMR_0052	cg25991183	chr14	104689836	hg19
PROPGER_DMR_0052	cg18450500	chr14	104690201	hg19
PROPGER_DMR_0052	cg09578794	chr14	104690040	hg19
PROPGER_DMR_0052	cg18707489	chr14	104690151	hg19
PROPGER_DMR_0052	cg16167808	chr14	104689833	hg19
PROPGER_DMR_0053	cg04817870	chr17	79963651	hg19
PROPGER_DMR_0053	cg20283716	chr17	79963039	hg19
PROPGER_DMR_0053	cg23160483	chr17	79963691	hg19
PROPGER_DMR_0053	cg12322877	chr17	79963213	hg19
PROPGER_DMR_0053	cg07261940	chr17	79963012	hg19
PROPGER_DMR_0054	cg06325540	chr16	1183618	hg19
PROPGER_DMR_0054	cg07812849	chr16	1183588	hg19
PROPGER_DMR_0054	cg00701514	chr16	1183462	hg19
PROPGER_DMR_0054	cg16894527	chr16	1183626	hg19
PROPGER_DMR_0054	cg19854322	chr16	1183656	hg19
PROPGER_DMR_0055	cg17354521	chr1	191120455	hg19
PROPGER_DMR_0055	cg19735739	chr1	191120792	hg19
PROPGER_DMR_0055	cg13493781	chr1	191120830	hg19
PROPGER_DMR_0055	cg08329443	chr1	191120604	hg19
PROPGER_DMR_0056	cg23922755	chr4	3443656	hg19
PROPGER_DMR_0056	cg20533530	chr4	3443694	hg19
PROPGER_DMR_0056	cg00344372	chr4	3443625	hg19
PROPGER_DMR_0056	cg02115806	chr4	3443403	hg19
PROPGER_DMR_0056	cg14256452	chr4	3443518	hg19
PROPGER_DMR_0056	cg26900875	chr4	3443608	hg19
PROPGER_DMR_0056	cg26955579	chr4	3443683	hg19
PROPGER_DMR_0056	cg07364841	chr4	3444147	hg19
PROPGER_DMR_0056	cg17322505	chr4	3443735	hg19
PROPGER_DMR_0057	cg06304259	chr16	54319242	hg19
PROPGER_DMR_0057	cg08114180	chr16	54319624	hg19
PROPGER_DMR_0057	cg22279504	chr16	54319404	hg19
PROPGER_DMR_0058	cg22507723	chr12	58131768	hg19
PROPGER_DMR_0058	cg03996001	chr12	58131766	hg19
PROPGER_DMR_0058	cg03505148	chr12	58131345	hg19
PROPGER_DMR_0058	cg14795572	chr12	58131681	hg19
PROPGER_DMR_0058	cg13444413	chr12	58131011	hg19
PROPGER_DMR_0059	cg19321603	chr6	30036976	hg19
PROPGER_DMR_0059	cg20858577	chr6	30036985	hg19
PROPGER_DMR_0059	cg23938543	chr6	30036994	hg19
PROPGER_DMR_0059	cg04987004	chr6	30037481	hg19
PROPGER_DMR_0059	cg11368699	chr6	30037202	hg19
PROPGER_DMR_0060	cg03502979	chr13	114103628	hg19
PROPGER_DMR_0060	cg10039500	chr13	114103578	hg19
PROPGER_DMR_0060	cg22478679	chr13	114103646	hg19
